Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
love,sex,9,9,7,7,8,10,9,7,10,8,9,8,7,8.31
tiger,cat,7,9,9,7,8,7,10,7,10,8,9,8,9,8.31
tiger,tiger,10,10,10,10,10,10,10,10,10,10,10,10,10,10.00
book,paper,9,8,7,6,6,9,8,7,10,5,9,7,9,7.69
computer,keyboard,9,10,5,7,8,8,9,10,10,7,9,9,8,8.38
computer,internet,8,9,4,6,8,10,10,10,10,7,9,8,8,8.23
plane,car,7,9,5,5,5,8,6,5,6,8,2,5,5,5.85
train,car,7,8,6,6,5,8,8,6,7,8,2,5,6,6.31
telephone,communication,9,9,7,7,8,9,10,9,10,8,7,9,7,8.38
television,radio,8,8,6,6,5,9,7,8,8,8,5,5,6,6.85
media,radio,8,9,7,7,7,7,9,8,10,8,8,9,8,8.08
drug,abuse,8,8,5,5,6,5,9,5,10,4,7,8,4,6.46
bread,butter,8,8,6,7,9,5,9,9,10,6,9,8,4,7.54
cucumber,potato,7,5,8,5,6,3,8,4,5,5,6,8,7,5.92
doctor,nurse,7,9,6,8,7,10,10,7,10,7,9,9,7,8.15
professor,doctor,8,8,5,5,6,3,7,6,0,5,8,2,6,5.31
student,professor,9,8,5,8,6,7,7,8,8,7,5,2,5,6.54
smart,student,8,5,6.5,6,5,7,9,7,6,5,8,5,8,6.58
smart,stupid,9,1,2,8,6,10,8,3,9,8,6,0,7,5.92
company,stock,8,8,6,5,6,7,7,10,7,5,8,5,7,6.85
stock,market,8,10,4,5,8,6,8,10,10,5,9,8,6,7.46
stock,phone,0,2,0,1,0,3,0,1,1,1,5,1,5,1.54
stock,CD,0,9,0,5,0,3,0,3,9,7.5,8,3,5,4.04
stock,jaguar,0,2,0,0,0,1,9,4,0,1,1,0,2,1.54
stock,egg,0,5,2,0,0,3,0,4,0,4,1,0,2,1.62
fertility,egg,9,10,8,7,8,7,9,7,10,7,10,9,8,8.38
stock,live,0,5,4,2,0,4,0,4,10,2,9,0,8,3.69
stock,life,0,5,1,1,0,0,0,4,0,2,9,0,2,1.85
book,library,8,8,5,8,9,9,10,10,10,9,10,9,9,8.77
bank,money,8,9,7,6,8,9,9,10,10,9,10,9,9,8.69
wood,forest,8,9,7,8,9,8,9,9,5,8,10,10,9,8.38
money,cash,9,9,9,9,10,7,10,10,10,9,10,10,10,9.38
professor,cucumber,0,0,0,0,0,0,0,0,0,1,1,0,1,0.23
king,cabbage,0,2,0,2,0,0,0,2,6,1,1,0,1,1.15
king,queen,8,8,9,9,8,10,9,8,10,7,10,5,9,8.46
king,rook,0,8,7,6,5,8,9,3,7,8,9,0,7,5.92
bishop,rabbi,7,9,8,6,7,9,10,8,10,9,6,9,9,8.23
Jerusalem,Israel,9,9,8,8,8,8,10,9,9,9,9,9,9,8.77
Jerusalem,Palestinian,9,8,7,5,7,9,10,5,8,8,9,9,8,7.85
holy,sex,0,1,0,3,0,3,0,0,0,3,8,0,1,1.46
fuck,sex,9,9,10,8,10,7,10,10,10,8,10,10,10,9.31
Maradona,football,8,5,7,7,5,0,7,3,10,4,1,2,5,4.92
football,basketball,7,9,9,5,7,8,8,4,8,8,8,5,6,7.08
football,tennis,7,8,8,6,4,5,8,4,7,8,8,5,6,6.46
tennis,racket,8,10,7,7,8,10,9,10,10,8,10,8,8,8.69
Arafat,peace,8,5,4,3,4,3,0,0,6,4,8,1,1,3.62
Arafat,terror,8,5,7,4,8,5,9,2,5,6,8,1,9,5.92
Arafat,Jackson,0,5,2,0,0,0,8,5,0,5,8,1,2,2.77
law,lawyer,9,9,9,8,9,10,10,10,10,9,10,9,8,9.23
movie,star,9,9,6,6,7,2,7,10,10,6,9,9,7,7.46
movie,popcorn,4,9,5,5,5,5,6,8,7,7,10,8,9,6.77
movie,critic,4,1,6,5,6,2,5,7,6,8,10,9,10,6.08
movie,theater,5,9,7,5,9,8,6,9,8,7,10,9,10,7.85
physics,proton,6,6,5,6,6,8,8,8,6,8,6,0,10,6.38
physics,chemistry,8,9,7,6,8,8,8,8,7,8,8,6,10,7.77
space,chemistry,0,0,5,4,5,6,8,6,3,3,6,3,0,3.77
alcohol,chemistry,3,9,6,6,8,3,4,2,4,4,3,5,3,4.62
vodka,gin,7,9,8,8,8,9,8,10,6,6,10,7,10,8.15
vodka,brandy,7,9,8,8,7,9,7,10,6,5,10,6,10,7.85
drink,car,0,1,4,1,0,1,0,0,1,0,2,0,0,0.77
drink,ear,0,0,3,1,0,1,0,0,0,0,0,0,0,0.38
drink,mouth,0,9,5,6,6,1,8,9,6,7,8,8,10,6.38
drink,eat,5,9.9,7,7,6,2,5,7,7,7,8,7,8,6.61
baby,mother,3,5,7,5,4,8,3,7,7,6,7,9,10,6.23
drink,mother,0,0,4,1,0,1,0,2,3,0,0,6,0,1.31
car,automobile,9,10,9,8,10,10,10,10,9,10,10,9,10,9.54
gem,jewel,10,9,8,8,9,10,8,10,9,10,10,10,10,9.31
journey,voyage,10,9,9,8,10,10,10,10,8,10,10,10,10,9.54
boy,lad,10,10,9,8,10,9,10,10,9,10,8,10,10,9.46
asylum,madhouse,10,6,8,8,9,10,8,10,8,10,10,10,10,9.00
magician,wizard,10,9,8,7,10,10,10,6,8,8,8,10,10,8.77
furnace,stove,7,9,8,4,8,7,4,9,7,9,8,10,10,7.69
food,fruit,7,9,8,8,8,10,8,10,6,7,8,7,10,8.15
bird,cock,7,0,7,7,9,10,5,9,5,7,10,6,7,6.85
bird,crane,7,10,4,7,8,10,8,10,7,9,10,8,10,8.31
tool,implement,0,9,8,8,7,9,8,9,9,9,6,3,6,7.00
brother,monk,2,5,5,8,8,5,2,1,8,5,5,9,6,5.31
crane,implement,0,0,7,7,1,1,5,4,6,4,4,1,0,3.08
lad,brother,7,9,6,4,6,3,2,9,4,4,7,6,6,5.62
journey,car,5,9,5,5,5,3,3,7,6,2,5,10,8,5.62
monk,oracle,0,5,5,5,6,4,6,5,2,3,3,7,5,4.31
cemetery,woodland,0,1,5,1,6,1,0,2,2,1,4,5,0,2.15
food,rooster,0,4,5,6,3,1,1,2,1,0,3,7,5,2.92
coast,hill,2,1,6,1,5,1,0,3,5,2,6,7,2,3.15
forest,graveyard,0,1,5,1,6,1,1,2,2,0,3,4,0,2.00
shore,woodland,0,5,5,1,6,2,0,2,5,2,3,6,2,3.00
monk,slave,0,1,4,1,3,1,0,4,2,0,2,3,7,2.15
coast,forest,0,1,5,1,5,2,0,7,5,2,5,4,1,2.92
lad,wizard,0,0,4,1,3,1,0,3,3,2,4,3,0,1.85
chord,smile,0,0,4,1,0,2,0,0,1,0,4,4,0,1.23
glass,magician,0,1,3,1,0,1,0,1,1,1,3,3,0,1.15
noon,string,0,0,2,1,0,1,0,0,0,0,0,2,0,0.46
rooster,voyage,0,1,4,1,0,1,0,0,0,0,0,0,0,0.54
money,dollar,9,9,8,8,9,10,9,10,8,10,8,10,10,9.08
money,cash,10,9,8,8,8,10,10,10,9,10,10,10,10,9.38
money,currency,10,9,9,8,9,10,10,10,9,10,10,10,10,9.54
money,wealth,8,9,7,8,7,9,10,10,8,8,10,8,7,8.38
money,property,3,9,6,8,5,4,4,8,6,4,5,5,3,5.38
money,possession,7,9,6,8,7,8,4,6,7,6,4,8,4,6.46
money,bank,8,9,6,8,6,2,5,10,6,8,10,6,10,7.23
money,deposit,8,10,4,8,8,7,7,5,8,9,7,8,8,7.46
money,withdrawal,6,7,8,7,9,7,9,7,6,9,7,8,6,7.38
money,laundering,8,7,2,7,8,3,8,6,7,7,8,8,6,6.54
money,operation,4,2,4,1,0,2,4,8,5,2,6,0,1,3.00
tiger,jaguar,8.5,7,8,9,9,8,9,8,8,9,7,9,10,8.42
tiger,feline,9,8,7,10,9,7,9,6,9,10,7,9,10,8.46
tiger,carnivore,7,10,9,9,10,8,10,8,10,9,8,8,10,8.92
tiger,mammal,8.5,10,7,9,10,8,9,6,9,10,10,8,10,8.81
tiger,animal,8.8,10,8,9,10,9,10,6,9,10,10,8,10,9.06
tiger,organism,7,9,9,8,7,5,2,7,4,10,8,2,10,6.77
tiger,fauna,3,1,7,8,0,2,5,5,5,10,0,0,10,4.31
tiger,zoo,7.5,6,8,7,6,5,10,6,9,10,8,9,8,7.65
psychology,psychiatry,8.5,8,9,10,7,9,9,5,7,8,8,10,10,8.35
psychology,anxiety,8,7,9,6.5,9,6,9,6,8,5,7,7,7,7.27
psychology,fear,7.5,4,5,6,8,4,7,6,7,7,6,6,4,5.96
psychology,depression,7,8,7,7,8,7,9,6,9,5,10,8,4,7.31
psychology,clinic,7,7,8,7,7,6,7,7,9,8,7,7,10,7.46
psychology,doctor,7.7,8,8,9,8,5,9,6,8,10,6,9,10,7.98
psychology,Freud,6,10,8,10,10,6,9,7,10,10,7,8,9,8.46
psychology,mind,8,10,8,10,9,5,10,8,5,10,7,10,10,8.46
psychology,health,6.5,8,7,8,8,7,8,6,6,9,8,8,6,7.35
psychology,science,8.5,8,8,9,4,7,7,6,8,4,8,4,7,6.81
psychology,discipline,7,8,7,7,8,7,7,7,5,4,6,3,5,6.23
psychology,cognition,7.5,5,8,7,8,7,9,7,7,9,8,7,8,7.50
planet,star,8,7,8,9,10,5,9,4,10,10,8,9,8,8.08
planet,constellation,6,4,7,8,5,4,8,7,8,10,7,8,10,7.08
planet,moon,7,6,8,9,10,5,10,6,10,10,8,9,8,8.15
planet,sun,7.5,7,8,8,10,5,10,8,10,10,8,10,10,8.58
planet,galaxy,7.5,7,9,9,6,4,8,6,9,9,9,8,8,7.65
planet,space,9,7,9,9,6,5,9,7,10,9,9,8,10,8.23
planet,astronomer,8,8,8,9,6,4,8,7,10,5,7,7,7,7.23
precedent,example,7,10,6,9,7,7,7,8,8,3,6,10,1,6.85
precedent,information,4,4,6,3,4,6,7,6,8,8,2,7,7,5.54
precedent,cognition,2,2,3,1,4,2,7,6,5,7,4,6,5,4.15
precedent,law,6,7,4,7,7,6,5,7,9,8,7,9,3,6.54
precedent,collection,2,1,8,2,0,3,6,5,4,8,4,7,1,3.92
precedent,group,1,1,5,1,0,4,2,4,2,4,4,0,3,2.38
precedent,antecedent,7,10,2,3,0,7,10,4,10,9,8,9,8,6.69
cup,coffee,8.5,8,6,8,8,6,8,8,7,9,6,10,7,7.65
cup,tableware,9,8,6,10,9,6,8,4,6,6,8,8,10,7.54
cup,article,1,3,1,1,2,2,1,6,2,1,3,0,1,1.85
cup,artifact,5,6,4,2,6,5,2,5,8,2,0,0,1,3.54
cup,object,5,6,7,7,5,7,8,4,8,9,7,4,9,6.62
cup,entity,1,0,6,1,0,3,1,1,3,1,6,0,4,2.08
cup,drink,7.5,8,7,9,9,5,10,5,9,9,6,9,10,7.96
cup,food,6,5,4,5,3,5,2,5,2,4,5,2,6,4.15
cup,substance,4,6,2,1,0,3,8,7,8,5,0,3,1,3.69
cup,liquid,6.7,7,6,8,8,5,6,6,9,5,7,8,7,6.82
jaguar,cat,9,10,5,10,10,8,9,5,10,10,9,10,10,8.85
jaguar,car,8.5,10,8,9,8,6,5,5,6,8,7,10,5,7.35
energy,secretary,1,1,0,3,1,0,1,2,1,0,0,2,0,0.92
secretary,senate,4,8,5,3,1,1,2,4,2,2,7,4,8,3.92
energy,laboratory,5,4,4,4,2,2.5,5,3,3,7,6,6,2,4.12
computer,laboratory,5,2,6,4,1,3.5,5,4,5,8,7,7,2,4.58
weapon,secret,4,8,4,4,1,4,3,3,4,7,8,6.5,5,4.73
FBI,fingerprint,1,9,8,4,4,4,3,3,6,7,9,7,5,5.38
FBI,investigation,6,9,9,8,7,7,6,7,9,10,9,9,10,8.15
investigation,effort,5,6,5,5,4,4.5,5,2,6,7,9,6,7,5.50
Mars,water,5,1,0,2,1,0.5,1,1,5,5,3,5,5,2.65
Mars,scientist,5,5,7,2,2,1,4,1,5,8,6,7,3,4.31
news,report,7,8,9,9,8,9,7,6,7,9,9,8,10,8.15
canyon,landscape,8,8,9,8,7,8,7,4,8,7,8,8,9,7.62
image,surface,4,7,2,6,5,3.5,3,1,2,5,2,7,5,4.04
discovery,space,5,9,8,6,4,7,6,4,4.5,7,7,8,9,6.50
water,seepage,1,8,7,7,7,7.5,7,1,7.5,8,8,7,4,6.15
sign,recess,1,4,2,0,1,0,1,1,1,2,1,3.5,1,1.42
Wednesday,news,1,5,2,1,1,2.5,1,1,1,1,2,5,2,1.96
mile,kilometer,5,9,8,7,8,8,8,5,6,9,5,7,5,6.92
computer,news,1,8,7,3,4,1,2,2,4,3,6,6,6,4.08
territory,surface,1,8,3,3,5,0.5,6,1,2,7,6,7,2,3.96
atmosphere,landscape,1,7,4,4,6,1.5,5,2,3,3,3,4,3,3.58
president,medal,1,8,5,3,1,5,3,1,2,6,2,5,2,3.38
war,troops,6,9,9,7,8,7.5,9,5,8,8,9,8,9,7.88
record,number,6,9,6,4,5,7.5,7,2,3,8,6,7,6,5.88
skin,eye,5,8,4,5,6,2,5,1,2,7,6,6,4,4.69
Japanese,American,4,8,7,7,8,6,8,1,7,9,7,6,2,6.15
theater,history,1,7,4,1,1,0.5,2,1,2,4,3,6,2,2.65
volunteer,motto,1,7,0,1,1,0,2,1,1,2,3,3,2,1.85
prejudice,recognition,1,2,5,3,1,4.5,3,1,3,2,5,3,2,2.73
decoration,valor,6,8,8,5,7,6.5,8,4,6,7,9,7,8,6.88
