Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
Liebe,Sex,8,9,8,9,9,8,9,9,7,10,7,10,7,8.46
Tiger,Katze,8,7,7,8,7,8,9,10,9,8,7,8,7,7.92
Tiger,Tiger,10,10,10,10,10,10,10,10,10,10,10,10,10,10.00
Buch,Papier,9,8,8,4,8,8,9,10,9,8,0,5,6,7.08
Computer,Tastatur,8,7,8,7,9,8,9,10,8,10,6,6,8,8.00
Computer,Internet,8,7,9,7,7,9,9,10,9,10,8,7,5,8.08
Flugzeug,Auto,7,0,7,0,6,7,2,9,8,5,5,0,8,4.92
Zug,Auto,7,0,7,0,5,7,7,9,8,8,5,2,7,5.54
Telefon,Kommunikation,10,8,8,6,8,7,9,10,9,10,8,8,8,8.38
Fernseher,Radio,8,0,8,0,8,5,6,10,8,5,5,5,7,5.77
Medien,Radio,6,8,8,9,4,8,9,10,9,10,7,10,8,8.15
Drogen,Mißbrauch,5,8,5,8,9,6,5,8,5,10,2,5,8,6.46
Brot,Butter,6,0,7,3,8,7,8,10,9,6,0,0,9,5.62
Gurke,Kartoffel,8,0,8,0,2,6,7,9,9,8,0,0,7,4.92
Arzt,Krankenschwester,8,2,7,1,8,8,6,10,9,9,5,6,8,6.69
Professor,Doktor,6,7,8,5,7,7,6,9,7,5,8,5,8,6.77
Student,Professor,7,2,8,0,5,7,7,10,8,10,2,0,8,5.69
klug,Student,8,2,5,2,6,6,5,10,0,4,2,8,5,4.85
klug,dumm,8,0,5,0,8,1,5,10,8,10,2,0,8,5.00
Unternehmen,Aktie,7,7,7,5,8,8,10,9,0,10,4,4,6,6.54
Aktie,Börse,9,9,8,8,10,9,9,9,10,10,6,10,8,8.85
Vorrat,Telefon,0,0,0,0,0,0,0,0,0,1,0,0,3,0.31
Vorrat,CD,0,0,2,0,0,1,0,0,0,1,0,0,3,0.54
Vorrat,Jaguar,0,0,0,0,0,1,0,0,0,1,0,0,1,0.23
