Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
amore,sesso,8,8,7,8,6,8,7,8,9,7,10,9,10,8.08
tigre,gatto,8,10,6,7,9,7,8,7,10,7,9,8,10,8.15
tigre,tigre,10,10,10,10,10,10,10,10,10,10,10,10,10,10.00
libro,carta,6,10,8,6,8,8,7,8,10,9,10,9,10,8.38
computer,tastiera,6,10,10,7,8,6,6,8,10,9,10,9,10,8.38
computer,internet,7,10,10,7.5,8,8,5,8.5,9,8,10,9,10,8.46
aereo,macchina,6,5,0,5,7,7,3,5,9,7,8,4,8,5.69
treno,macchina,6,5,0,5,7,7,4,5,9,7,8,4,8,5.77
telefono,comunicazione,9,10,10,6,8,9,6,8.5,10,8,10,9,10,8.73
televisione,radio,7,9,10,5,8,7,7,8,9,7,9,7,9,7.85
media,radio,7,7,10,6,8,7,4,8.5,9,7,9,9,8,7.65
droga,abuso,7,10,0,6.5,7,6,4,8,9,8,9,8,10,7.12
pane,burro,7,7.5,0,3,9,7,7,5.5,8,7,8,6,8,6.38
cetriolo,patata,8,5,0,2.5,8,6,1,7.5,7,7,9,3,1,5.00
dottore,infermiera,8,8,10,7.5,9,7,7,7.5,10,8,9,8,10,8.38
professore,dottore,7,8,0,6.5,9,4,2,5,9,8,8,7,8,6.27
studente,professore,8,10,10,7,9,7,6,8,10,8,10,9,9,8.54
intelligente,studente,6,7.5,7,5,5,7,2,7.5,6,7,7,8,9,6.46
intelligente,stupido,4,5,7,5,8,8,6,7,10,6,7,1,8,6.31
compagnia,azioni,6,10,10,2,9,3,2,8,9,7,9,9,10,7.23
provvista,mercato,6,8,10,2,8,2,4,6,9,6,7,8,10,6.62
provvista,telefono,0,5,0,1,5,2,1,1,2,4,0,1,1,1.77
provvista,CD,0,2,0,1,0,1,0,1,1,0,0,1,1,0.62
provvista,giaguaro,0,0,0,1,0,0,0,1,1,0,0,1,1,0.38
provvista,uovo,0,5,0,1.5,5,0,4,4,4,7,9,3,5,3.65
fertilit,uovo,8,4,0,7.5,9,2,0,3,9,3,9,8,1,4.88
provvista,vivo,0,2,0,1,5,3,0,2,3,6,7,1,5,2.69
provvista,vita,0,0,0,1,5,3,1,4,3,5,8,2,8,3.08
libro,biblioteca,9,10,10,8,7,9,9,8.5,10,9,10,9,10,9.12
banca,denaro,9,10,8,8,8,9,9,9,10,9,9,10,10,9.08
legno,foresta,9,10,10,7,8,9,9,9,10,9,9,9,10,9.08
denaro,contanti,9,10,10,7.5,9,7,7,9.5,10,9,9,10,10,9.00
professore,cetriolo,0,0,0,0,0,0,0,1,1,0,0,1,1,0.31
re,cavolo,0,0,0,1,0,0,2,1,1,0,0,2,1,0.62
re,regina,9,10,10,8,10,10,9,9,10,8,10,9,10,9.38
re,torre,8,3,7,7,10,9,8,8,9,7,10,5,10,7.77
vescovo,rabbino,8,10,8,7.5,8,7,7,8,9,7,8,9,8,8.04
Gerusalemme,Israele,10,10,10,9,10,9,9,9,10,7,10,9,10,9.38
Gerusalemme,Palestinese,0,4,1,7.5,8,9,9,7,10,7,10,1,10,6.42
santo,sesso,4,0,0,4,0,5,0,2,1,2,0,3,1,1.69
fottere,sesso,9,10,10,8,9,9,8,9,10,7,9,10,10,9.08
Maradona,calcio,10,10,10,8.5,10,8,8,9,10,8,10,9,10,9.27
calcio,pallacanestro,8,5,8,7,8,6,6,6,9,7,9,1,8,6.77
calcio,tennis,7,5,8,6,8,3,6,6,9,7,8,1,5,6.08
tennis,racchetta,10,10,10,9,9,8,9,8,10,9,10,9,10,9.31
Arafat,pace,0,0,0,7,7,6,8,7,9,6,8,8,5,5.46
Arafat,terrore,10,10,10,4,6,6,4,7,1,6,4,6,6,6.15
Arafat,Jackson,0.0,0,0,1,0,0,0,1,1,6,6,1,1,1.31
legge,avvocato,9,10,10,9,9,8,9,9,10,8,10,9,10,9.23
film,star,8,10,10,8.5,8,3,9,9,10,7,10,7,10,8.42
film,popcorn,6,10,7,7,9,3,6,8,8,6,8,7,7,7.08
film,critico,7,10,8,7,9,7,7,8,8,8,8,7,2,7.38
film,teatro,8,5,7,7,9,6,7,6,8,8,7,8,6,7.08
fisica,protone,9,10,10,7.5,9,7,8,9,7,10,8,8,10,8.65
fisica,chimica,8,10,10,6.5,8,8,7,8,6,8,7,8,8,7.88
spazio,chimica,7,0,6,5.5,8,2,6,6.5,6,0,7,6,7,5.15
alcool,chimica,8,8,10,6.5,9,3,6,7,8,9,5,7,5,7.04
vodka,gin,9,10,8,8.5,9,7,8,9,8,8,7,8,9,8.35
vodka,brandy,9,10,8,8,9,4,8,9,8,8,4,8,7,7.69
bere,macchina,0,5,0,6,0,5,6,7,0,0,7,4,4,3.38
bere,orecchio,0,0,0,3,0,0,1,2,0,0,0,0,0.9,0.53
bere,bocca,10,10,8,8,8,6,9,7.5,9,8,8,7,9,8.27
bere,mangiare,9,10,10,8.5,9,7,8,8,8,9,8,8,7,8.42
bambino,madre,9,10,10,9,10,8,9,8.5,9,8,8,8,9,8.88
bere,madre,5,0,0,3.5,5,2,5,1,0,2,0,2,1,2.04
macchina,automobile,10,10,10,9.5,10,10,8,9,10,10,10,10,10,9.73
gemma,gioiello,10,10,8,9,10,9,7,8,9,10,9,8,10,9.00
viaggio,traversata,8,5,8,9.5,10,7,6,8,8,9,8,7.2,6,7.67
ragazzo,giovanotto,9,8,10,10,10,7,8,8.5,10,10,10,8,10,9.12
asilo,manicomio,9,10,6.5,7,10,4,5,7,6,8,8,4,3,6.73
mago,stregone,10,10,10,7.5,10,5,7,9,9,10,10,9,10,8.96
fornace,fornello,10,10,10,7,7,6,4,7.5,7,0,8,6,8.5,7.00
cibo,frutta,9,5,8,7,8,6,7,8,9,10,8,7,9,7.77
uccello,gallo,9,8,7,7,9,4,7,8,9,10,7,9,7,7.77
uccello,gru,9,5,0,7,9,3,9,8,9,10,9,8.45,9,7.34
attrezzo,strumento,10,10,9,7.5,10,6,6,9,8,10,10,8,8.2,8.59
fratello,monaco,8,10,6,5,9,7,5,8,8,8,5,4,4,6.69
gru,strumento,9,8,7,6,8,4,3,6,8,8,2,6,2,5.92
giovanotto,fratello,7,5,0,5,8,3,3,5,7,6,3,6,5,4.85
viaggio,macchina,8,10,7,6,8.5,6,8,7,7,9,7,7,8,7.58
monaco,oracolo,4,0,5,3,2,2,3,5.5,2,4,7,8,5,3.88
cimitero,foresta,0,0,0,2,1,2,0,3,4,0,2,4,2,1.54
