Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
секс,любовь,8,9,7,8,8,8,6,8,8,6,10,9,8,7.92
кот,тигр,7,6,10,8,2,7,8,7,8,5,4,7,8,6.69
тигр,тигр,10,10,10,10,10,10,10,10,10,10,10,10,10,10.00
бумага,книга,7,8,8,7,9,7,4,5,7,7,8,8,7,7.08
клавиатура,компьютер,8,6,10,4,5,6,3,8,7,8,8,9,9,7.00
Интернет,компьютер,8,7,10,8,10,9,7,8,7,7,8,8,9,8.15
машина,самолет,7,7,5,3,2,5,2,5,7.5,4,1,2,6,4.35
машина,поезд,7,6,5,4,1,6,3,5,8,5,1,3,6,4.62
коммуникация,телефон,7,7,8,8,3,7,6,10,7,3,3,6,8,6.38
радио,телевидение,7,7,7,7,5,8,7,9,8,5,7,8,8,7.15
радио,медиум,6,7,7,2,1,5,4,3,6,3,8,4,8,4.92
злоупотребление,наркотик,7,9,6,6,10,8,7,8,6,2,8,8,8,7.15
масло,хлеб,7,7,7,7,2,6,7,6,8,4,7,7,7,6.31
картофель,огурец ,6,8,2,8,1,3,3,3,8,5,3,6,5,4.69
медсестра,врач,7,7,2,8,6,7,6,4,7,8,6,5,7,6.15
доктор,профессор,6,7,4,8,9,7,8,4,7,6,8,7,7,6.77
профессор,студент,6,6,5,6,1,6,7,7,6,7,7,6,8,6.00
студент,умный,4,6,4,4,1,6,6,5,6,6,7,6,8,5.31
тупой,умный,9,7,7,8,2,0,9,8,8,1,10,8,5,6.31
акции,компания,7,7,6,5,8,5,7,7,5,9,7,7,6,6.62
рынок,акции,8,6,4,8,5,7,8,7,6,8,8,8,7,6.92
телефон,запас,0,2,4,0,1,0,0,1,1,5,0,0,0,1.08
диск,запас,1,2,2,5,6,3,0,5,7,4,5,3,0,3.31
ягуар ,запас,0,0,1,0,0,0,0,1,1,3,0,0,0,0.46
яйцо,запас,1,0,0,2,0,2,0,3,3,2,0,0,0,1.00
плодородие,яйцо,5,7,0,7,2,5,3,5,4,7,0,4,1,3.85
живой,акции,0,0,0,0,1,0,0,1,2,3,0,0,0,0.54
жизнь,акции,0,0,1,0,1,0,0,3,4,2,2,2,0,1.15
библиотека,книга,8,9,8,9,5,8,8,8,7,9,9,8,9,8.08
деньги,банк,8,9,7,9,10,8,8,8,7,8,9,9,9,8.38
лес,дерево,8,7,8,9,9,8,8,8,7,9,9,9,9,8.31
наличные,деньги,8,9,7,9,9,9,9,8,9,7,9,9,10,8.62
огурец,профессор,0,0,0,0,0,0,0,2,1,2,0,0,0,0.38
капуста,король,6,0,0,2,0,2,7,8,2,4,0,4,0,2.69
королева,король,8,9,0,8,1,8,9,10,9,9,9,8,8,7.38
ладья,король,7,6,5,9,0,6,5,10,8,8,9,6,7,6.62
раввин,епископ,7,6,4,9,5,6,5,8,6,9,7,6,6,6.46
Израиль,Иерусалим,8,10,10,9,9,9,7,9,8,8,10,9,9,8.85
Палестинец,Иерусалим,8,8,7,9,0,5,3,7,7,7,0,4,9,5.69
секс,святой,8,0,0,0,2,5,7,2,6,9,0,4,1,3.38
секс,трахаться,9,8,5,10,5,8,9,6,9.5,5,10,8,9,7.81
футбол,Марадона,8,8,2,9,9,8,9,9,7,7,9,8,10,7.92
